  senzor               , V(R15:2)             
  1.300000000000e+004  ,1.781273339092e+001  
  1.290000000000e+004  ,1.781270223344e+001  
  1.280000000000e+004  ,1.781267105185e+001  
  1.270000000000e+004  ,1.781263981516e+001  
  1.260000000000e+004  ,1.781260855414e+001  
  1.250000000000e+004  ,1.781257723768e+001  
  1.240000000000e+004  ,1.781254589670e+001  
  1.230000000000e+004  ,1.781251450024e+001  
  1.220000000000e+004  ,1.781248307905e+001  
  1.210000000000e+004  ,1.781245160204e+001  
  1.200000000000e+004  ,1.781242010011e+001  
  1.190000000000e+004  ,1.781238854231e+001  
  1.180000000000e+004  ,1.781235695940e+001  
  1.170000000000e+004  ,1.781232532025e+001  
  1.160000000000e+004  ,1.781229365581e+001  
  1.150000000000e+004  ,1.781226193508e+001  
  1.140000000000e+004  ,1.781223018885e+001  
  1.130000000000e+004  ,1.781219838597e+001  
  1.120000000000e+004  ,1.781216655741e+001  
  1.110000000000e+004  ,1.781213467214e+001  
  1.100000000000e+004  ,1.781210276098e+001  
  1.090000000000e+004  ,1.781207079276e+001  
  1.080000000000e+004  ,1.781203879845e+001  
  1.070000000000e+004  ,1.781200674701e+001  
  1.060000000000e+004  ,1.781197466928e+001  
  1.050000000000e+004  ,1.781194253407e+001  
  1.040000000000e+004  ,1.781191037236e+001  
  1.030000000000e+004  ,1.781187815311e+001  
  1.020000000000e+004  ,1.781184590714e+001  
  1.010000000000e+004  ,1.781181360327e+001  
  1.000000000000e+004  ,1.781178127248e+001  
  9.900000000000e+003  ,1.781174888373e+001  
  9.800000000000e+003  ,1.781171646783e+001  
  9.700000000000e+003  ,1.781168399361e+001  
  9.600000000000e+003  ,1.781165149203e+001  
  9.500000000000e+003  ,1.781161893207e+001  
  9.400000000000e+003  ,1.781158634453e+001  
  9.300000000000e+003  ,1.781155369824e+001  
  9.200000000000e+003  ,1.781152102415e+001  
  9.100000000000e+003  ,1.781148829124e+001  
  9.000000000000e+003  ,1.781145553032e+001  
  8.900000000000e+003  ,1.781142271020e+001  
  8.800000000000e+003  ,1.781138986184e+001  
  8.700000000000e+003  ,1.781135695423e+001  
  8.600000000000e+003  ,1.781132401815e+001  
  8.500000000000e+003  ,1.781129102243e+001  
  8.400000000000e+003  ,1.781125799802e+001  
  8.300000000000e+003  ,1.781122491391e+001  
  8.200000000000e+003  ,1.781119180087e+001  
  8.100000000000e+003  ,1.781115862775e+001  
  8.000000000000e+003  ,1.781112542548e+001  
  7.900000000000e+003  ,1.781109216305e+001  
  7.800000000000e+003  ,1.781105887124e+001  
  7.700000000000e+003  ,1.781102551888e+001  
  7.600000000000e+003  ,1.781099213691e+001  
  7.500000000000e+003  ,1.781095869432e+001  
  7.400000000000e+003  ,1.781092522188e+001  
  7.300000000000e+003  ,1.781089168841e+001  
  7.200000000000e+003  ,1.781085812487e+001  
  7.100000000000e+003  ,1.781082450024e+001  
  7.000000000000e+003  ,1.781079084528e+001  
  6.900000000000e+003  ,1.781075712882e+001  
  6.800000000000e+003  ,1.781072338181e+001  
  6.700000000000e+003  ,1.781068957322e+001  
  6.600000000000e+003  ,1.781065573383e+001  
  6.500000000000e+003  ,1.781062183247e+001  
  6.400000000000e+003  ,1.781058790006e+001  
  6.300000000000e+003  ,1.781055390558e+001  
  6.200000000000e+003  ,1.781051987982e+001  
  6.100000000000e+003  ,1.781048579158e+001  
  6.000000000000e+003  ,1.781045167181e+001  
  5.900000000000e+003  ,1.781041748948e+001  
  5.800000000000e+003  ,1.781038327536e+001  
  5.700000000000e+003  ,1.781034899827e+001  
  5.600000000000e+003  ,1.781031468913e+001  
  5.500000000000e+003  ,1.781028031545e+001  
  5.400000000000e+003  ,1.781024576404e+001  
  5.300000000000e+003  ,1.781020013090e+001  
  5.200000000000e+003  ,1.697052119002e-001  
  5.100000000000e+003  ,1.696892840659e-001  
  5.000000000000e+003  ,1.696733590541e-001  
  4.900000000000e+003  ,1.696574427578e-001  
  4.800000000000e+003  ,1.696415351679e-001  
  4.700000000000e+003  ,1.696256362754e-001  
  4.600000000000e+003  ,1.696097460711e-001  
  4.500000000000e+003  ,1.695938645459e-001  
  4.400000000000e+003  ,1.695779916908e-001  
  4.300000000000e+003  ,1.695621274967e-001  
  4.200000000000e+003  ,1.695462719545e-001  
  4.100000000000e+003  ,1.695304250551e-001  
  4.000000000000e+003  ,1.695145867896e-001  
  3.900000000000e+003  ,1.694987571488e-001  
  3.800000000000e+003  ,1.694829361236e-001  
  3.700000000000e+003  ,1.694671237051e-001  
  3.600000000000e+003  ,1.694513198842e-001  
  3.500000000000e+003  ,1.694355246518e-001  
  3.400000000000e+003  ,1.694197379990e-001  
  3.300000000000e+003  ,1.694039599167e-001  
  3.200000000000e+003  ,1.693881903959e-001  
  3.100000000000e+003  ,1.693724294275e-001  
  3.000000000000e+003  ,1.693566770028e-001  
