  senzor               , V(R15:2)             
  4.220000000000e+003  ,1.695494423611e-001  
  4.230000000000e+003  ,1.695510179797e-001  
  4.240000000000e+003  ,1.695526131232e-001  
  4.250000000000e+003  ,1.695541888526e-001  
  4.260000000000e+003  ,1.695557842314e-001  
  4.270000000000e+003  ,1.695573601962e-001  
  4.280000000000e+003  ,1.695589556854e-001  
  4.290000000000e+003  ,1.695605317611e-001  
  4.300000000000e+003  ,1.695621274855e-001  
  4.310000000000e+003  ,1.695637037968e-001  
  4.320000000000e+003  ,1.695652996316e-001  
  4.330000000000e+003  ,1.695668760538e-001  
  4.340000000000e+003  ,1.695684721240e-001  
  4.350000000000e+003  ,1.695700487818e-001  
  4.360000000000e+003  ,1.695716449624e-001  
  4.370000000000e+003  ,1.695732217313e-001  
  4.380000000000e+003  ,1.695748181474e-001  
  4.390000000000e+003  ,1.695763951519e-001  
  4.400000000000e+003  ,1.695779916785e-001  
  4.410000000000e+003  ,1.695795687941e-001  
  4.420000000000e+003  ,1.695811655563e-001  
  4.430000000000e+003  ,1.695827429076e-001  
  4.440000000000e+003  ,1.695843397804e-001  
  4.450000000000e+003  ,1.695859172429e-001  
  4.460000000000e+003  ,1.695875143513e-001  
  4.470000000000e+003  ,1.695890920496e-001  
  4.480000000000e+003  ,1.695906892687e-001  
  4.490000000000e+003  ,1.695922670782e-001  
  4.500000000000e+003  ,1.695938645330e-001  
  4.510000000000e+003  ,1.695954425784e-001  
  4.520000000000e+003  ,1.695970401439e-001  
  4.530000000000e+003  ,1.695986183006e-001  
  4.540000000000e+003  ,1.696002161019e-001  
  4.550000000000e+003  ,1.696017944945e-001  
  4.560000000000e+003  ,1.696033924066e-001  
  4.570000000000e+003  ,1.696049709107e-001  
  4.580000000000e+003  ,1.696065690586e-001  
  4.590000000000e+003  ,1.696081477987e-001  
  4.600000000000e+003  ,1.696097460575e-001  
  4.610000000000e+003  ,1.696113249090e-001  
  4.620000000000e+003  ,1.696129234037e-001  
  4.630000000000e+003  ,1.696145024913e-001  
  4.640000000000e+003  ,1.696161010970e-001  
  4.650000000000e+003  ,1.696176802962e-001  
  4.660000000000e+003  ,1.696192791378e-001  
  4.670000000000e+003  ,1.696208585731e-001  
  4.680000000000e+003  ,1.696224575258e-001  
  4.690000000000e+003  ,1.696240370727e-001  
  4.700000000000e+003  ,1.696256362614e-001  
  4.710000000000e+003  ,1.696272160446e-001  
  4.720000000000e+003  ,1.696288153444e-001  
  4.730000000000e+003  ,1.696303952393e-001  
  4.740000000000e+003  ,1.696319947752e-001  
  4.750000000000e+003  ,1.696335749063e-001  
  4.760000000000e+003  ,1.696351745534e-001  
  4.770000000000e+003  ,1.696367547964e-001  
  4.780000000000e+003  ,1.696383546797e-001  
  4.790000000000e+003  ,1.696399351590e-001  
  4.800000000000e+003  ,1.696415351535e-001  
  4.810000000000e+003  ,1.696431157446e-001  
  4.820000000000e+003  ,1.696447159754e-001  
  4.830000000000e+003  ,1.696462968030e-001  
  4.840000000000e+003  ,1.696478971451e-001  
  4.850000000000e+003  ,1.696494780846e-001  
  4.860000000000e+003  ,1.696510786631e-001  
  4.870000000000e+003  ,1.696526598390e-001  
  4.880000000000e+003  ,1.696542605289e-001  
  4.890000000000e+003  ,1.696558418169e-001  
  4.900000000000e+003  ,1.696574427431e-001  
  4.910000000000e+003  ,1.696590242677e-001  
  4.920000000000e+003  ,1.696606253054e-001  
  4.930000000000e+003  ,1.696622069420e-001  
  4.940000000000e+003  ,1.696638082163e-001  
  4.950000000000e+003  ,1.696653900895e-001  
  4.960000000000e+003  ,1.696669914753e-001  
  4.970000000000e+003  ,1.696685734607e-001  
  4.980000000000e+003  ,1.696701750830e-001  
  4.990000000000e+003  ,1.696717573051e-001  
  5.000000000000e+003  ,1.696733590390e-001  
  5.010000000000e+003  ,1.696749413734e-001  
  5.020000000000e+003  ,1.696765433439e-001  
  5.030000000000e+003  ,1.696781259150e-001  
  5.040000000000e+003  ,1.696797279973e-001  
  5.050000000000e+003  ,1.696813106807e-001  
  5.060000000000e+003  ,1.696829129996e-001  
  5.070000000000e+003  ,1.696844959199e-001  
  5.080000000000e+003  ,1.696860983506e-001  
  5.090000000000e+003  ,1.696876813832e-001  
  5.100000000000e+003  ,1.696892840506e-001  
  5.110000000000e+003  ,1.696908673202e-001  
  5.120000000000e+003  ,1.696924700995e-001  
  5.130000000000e+003  ,1.696940534815e-001  
  5.140000000000e+003  ,1.696956564976e-001  
  5.150000000000e+003  ,1.696972401166e-001  
  5.160000000000e+003  ,1.696988432447e-001  
  5.170000000000e+003  ,1.697004269762e-001  
  5.180000000000e+003  ,1.697020303411e-001  
  5.190000000000e+003  ,1.697036143097e-001  
  5.200000000000e+003  ,1.697052177867e-001  
  5.210000000000e+003  ,1.697068018678e-001  
  5.220000000000e+003  ,1.697084055818e-001  
  5.230000000000e+003  ,1.697099899001e-001  
  5.240000000000e+003  ,1.697115937261e-001  
  5.250000000000e+003  ,1.697131781570e-001  
  5.260000000000e+003  ,1.697147822201e-001  
  5.270000000000e+003  ,1.697163668883e-001  
  5.280000000000e+003  ,1.697179710634e-001  
  5.290000000000e+003  ,1.697195558444e-001  
  5.300000000000e+003  ,1.697211602566e-001  
  5.310000000000e+003  ,1.697227452749e-001  
  5.320000000000e+003  ,1.697243497993e-001  
  5.330000000000e+003  ,1.697259349304e-001  
  5.340000000000e+003  ,1.697275396921e-001  
  5.350000000000e+003  ,1.697291250605e-001  
  5.360000000000e+003  ,1.697307299344e-001  
  5.370000000000e+003  ,1.697323154157e-001  
  5.380000000000e+003  ,1.697339205269e-001  
  5.390000000000e+003  ,1.697355062457e-001  
  5.400000000000e+003  ,1.697371114692e-001  
  5.410000000000e+003  ,1.697386973009e-001  
  5.420000000000e+003  ,1.697403027618e-001  
  5.430000000000e+003  ,1.697418888310e-001  
  5.440000000000e+003  ,1.697434944044e-001  
  5.450000000000e+003  ,1.697450805866e-001  
  5.460000000000e+003  ,1.697466863974e-001  
  5.470000000000e+003  ,1.697482728172e-001  
  5.480000000000e+003  ,1.697498787404e-001  
  5.490000000000e+003  ,1.697514652733e-001  
  5.500000000000e+003  ,1.697530714341e-001  
  5.510000000000e+003  ,1.697546582046e-001  
  5.520000000000e+003  ,1.697562644779e-001  
  5.530000000000e+003  ,1.697578513617e-001  
  5.540000000000e+003  ,1.697594578726e-001  
  5.550000000000e+003  ,1.697610449940e-001  
  5.560000000000e+003  ,1.697626516175e-001  
  5.570000000000e+003  ,1.697642388523e-001  
  5.580000000000e+003  ,1.697658457134e-001  
  5.590000000000e+003  ,1.697674331859e-001  
  5.600000000000e+003  ,1.697690401598e-001  
  5.610000000000e+003  ,1.697706277456e-001  
  5.620000000000e+003  ,1.697722349572e-001  
  5.630000000000e+003  ,1.697738227809e-001  
  5.640000000000e+003  ,1.697754301053e-001  
  5.650000000000e+003  ,1.697770180424e-001  
  5.660000000000e+003  ,1.697786256046e-001  
  5.670000000000e+003  ,1.697802137797e-001  
  5.680000000000e+003  ,1.697818214547e-001  
  5.690000000000e+003  ,1.697834097432e-001  
  5.700000000000e+003  ,1.697850176561e-001  
  5.710000000000e+003  ,1.697866061826e-001  
  5.720000000000e+003  ,1.697882142085e-001  
  5.730000000000e+003  ,1.697898028485e-001  
  5.740000000000e+003  ,1.697914111123e-001  
  5.750000000000e+003  ,1.697929999905e-001  
  5.760000000000e+003  ,1.697946083673e-001  
  5.770000000000e+003  ,1.697961973591e-001  
  5.780000000000e+003  ,1.697978059738e-001  
  5.790000000000e+003  ,1.697993952038e-001  
  5.800000000000e+003  ,1.698010039316e-001  
  5.810000000000e+003  ,1.698025932753e-001  
  5.820000000000e+003  ,1.698042022412e-001  
  5.830000000000e+003  ,1.698057918231e-001  
  5.840000000000e+003  ,1.698074009022e-001  
  5.850000000000e+003  ,1.698089905979e-001  
  5.860000000000e+003  ,1.698105999151e-001  
  5.870000000000e+003  ,1.698121898491e-001  
  5.880000000000e+003  ,1.698137992796e-001  
  5.890000000000e+003  ,1.698153893274e-001  
  5.900000000000e+003  ,1.698169989961e-001  
  5.910000000000e+003  ,1.698185892823e-001  
  5.920000000000e+003  ,1.698201990643e-001  
  5.930000000000e+003  ,1.698217894644e-001  
  5.940000000000e+003  ,1.698233994847e-001  
  5.950000000000e+003  ,1.698249901233e-001  
  5.960000000000e+003  ,1.698266002570e-001  
  5.970000000000e+003  ,1.698281910096e-001  
  5.980000000000e+003  ,1.698298013816e-001  
  5.990000000000e+003  ,1.698313923727e-001  
  6.000000000000e+003  ,1.698330028582e-001  
  6.010000000000e+003  ,1.698345939634e-001  
  6.020000000000e+003  ,1.698362046873e-001  
  6.030000000000e+003  ,1.698377960311e-001  
  6.040000000000e+003  ,1.698394068686e-001  
  6.050000000000e+003  ,1.698409983265e-001  
  6.060000000000e+003  ,1.698426094025e-001  
  6.070000000000e+003  ,1.698442010991e-001  
  6.080000000000e+003  ,1.698458122887e-001  
  6.090000000000e+003  ,1.698474040995e-001  
  6.100000000000e+003  ,1.698490155277e-001  
  6.110000000000e+003  ,1.698506075772e-001  
  6.120000000000e+003  ,1.698522191191e-001  
  6.130000000000e+003  ,1.698538112830e-001  
  6.140000000000e+003  ,1.698554230635e-001  
  6.150000000000e+003  ,1.698570154661e-001  
  6.160000000000e+003  ,1.698586273604e-001  
  6.170000000000e+003  ,1.698602198775e-001  
  6.180000000000e+003  ,1.698618320105e-001  
  6.190000000000e+003  ,1.698634247664e-001  
  6.200000000000e+003  ,1.698650370132e-001  
  6.210000000000e+003  ,1.698666298836e-001  
  6.220000000000e+003  ,1.698682423693e-001  
  6.230000000000e+003  ,1.698698354786e-001  
  6.240000000000e+003  ,1.698714480782e-001  
  6.250000000000e+003  ,1.698730413021e-001  
  6.260000000000e+003  ,1.698746541405e-001  
  6.270000000000e+003  ,1.698762476034e-001  
  6.280000000000e+003  ,1.698778605558e-001  
  6.290000000000e+003  ,1.698794541333e-001  
  6.300000000000e+003  ,1.698810673247e-001  
  6.310000000000e+003  ,1.698826611413e-001  
  6.320000000000e+003  ,1.698842744467e-001  
  6.330000000000e+003  ,1.698858683780e-001  
  6.340000000000e+003  ,1.698874819224e-001  
  6.350000000000e+003  ,1.698890760929e-001  
  6.360000000000e+003  ,1.698906897515e-001  
  6.370000000000e+003  ,1.698922840367e-001  
  6.380000000000e+003  ,1.698938979344e-001  
  6.390000000000e+003  ,1.698954924588e-001  
  6.400000000000e+003  ,1.698971064707e-001  
  6.410000000000e+003  ,1.698987011100e-001  
  6.420000000000e+003  ,1.699003153611e-001  
  6.430000000000e+003  ,1.699019102397e-001  
  6.440000000000e+003  ,1.699035246050e-001  
  6.450000000000e+003  ,1.699051195985e-001  
  6.460000000000e+003  ,1.699067342031e-001  
